Country_Name,Deaths,Confirmed
US,982,99234
US,41,3561
US,149,16960
US,2051,144123
US,30,4303
US,108,9102
US,764,35642
US,39,1967
US,1605,144146
US,314,32369
US,104,6506
US,46,7463
US,26410,1476791
US,281,23518
US,243,17581
US,15,1273
US,86,7527
US,577,41781
US,8,669
US,5,1644
US,582,50696
US,100,12808
US,90,9039
US,5518,322741
US,0,0
US,415,38902
US,6,1575
US,4990,369344
US,2279,157621
US,72,7373
US,5566,356315
US,4163,364634
US,645,54031
US,1708,101807
US,329,29653
US,622,53828
US,521,44836
US,1890,144518
US,218,20861
US,334,23360
US,0,176
US,42,4427
US,334,45761
US,402,40711
US,1315,85157
US,169,13775
US,104,9298
US,11,860
US,951,78945
US,93,6739
US,0,186
US,1164,100524
US,247,20147
US,82,9942
US,819,73358
US,43,2329
US,824,77101
US,4,1429
US,5,415
US,23,1675
US,248,29863
US,80,6476
US,30,2172
US,7,172
US,5,748
US,32,970
US,10,364
US,22,2357
US,6,343
US,80,3791
US,923,88868
US,2,225
US,290,38986
US,31,8140
US,1062,97085
US,22,2597
US,84,8062
US,60,7636
US,3,416
US,13,2103
US,10,1803
US,0,54
US,19,602
US,0,101
US,892,60831
US,4,170
US,14,932
US,53,5569
US,1,997
US,292,37381
US,21,1730
US,7,1283
US,79,4579
US,312,22938
US,1,124
US,39,1905
US,36,2927
US,82,5111
US,98,3264
US,78,2557
US,5,422
US,0,0
US,8,1316
US,14,501
US,5,3077
US,28,1569
US,470,23954
US,8,920
US,21,1437
US,23,3245
US,8,656
US,1,95
US,4,1158
US,4,300
US,11,4688
US,25,2701
US,0,98
US,15,601
US,430,44381
US,18,1181
US,2294,111615
US,2574,97087
US,322,16861
US,393,14731
US,2227,104308
US,488,27028
US,198,11159
US,9,1347
US,213,12987
US,430,25208
US,989,79813
US,613,34475
US,0,378
US,0,49
US,1183,62976
US,285,39469
US,62,5979
US,394,32417
US,58,5332
US,914,80873
US,3079,357110
US,45,3003
US,437,23191
US,463,20360
US,352,33695
US,551,57827
US,170,14855
US,97,6868
US,24,2939
US,1483,165223
US,706,56986
US,114,14356
US,20,2258
US,99,8612
US,44,3132
US,19,1433
US,45,2984
US,25,2728
US,45,6050
US,87,7933
US,482,28487
US,366,15909
US,1832,240451
US,49,3855
US,306,22147
US,158,10108
US,28,2470
US,26,2186
US,663,54432
US,1009,126320
US,332,51157
US,56,6934
US,16,1816
US,45,3601
US,689,65237
US,996,56490
US,335,20194
US,6472,674857
US,52,10789
US,127,15385
US,367,34414
US,89,7424
US,1310,228543
US,529,71806
US,2883,225870
US,802,79003
US,1671,135454
US,1387,127969
US,160,12732
US,291,32425
US,844,56497
US,516,61847
US,221,40676
US,657,47634
US,284,14480
US,140,9181
US,48,4577
US,20886,2961
US,74,3057
US,846,75476
US,56,6362
US,89,12719
US,52,4552
US,102,3449
US,32,1555
US,55,2479
US,14,367
US,179,6605
US,59,2693
US,188,14505
US,329,20201
US,99,3178
US,61,3458
US,603,25160
US,68,2284
US,80,3098
US,67,2402
US,63,6223
US,185,11119
US,79,3711
US,107,4623
US,20,823
US,90,7832
US,85,1554
US,296,16235
US,100,9313
US,54,2224
US,655,38189
US,17,5724
US,99,4500
US,438,42949
US,171,19863
US,4,312
US,688,38797
US,35,1458
US,1341,107875
US,218,7756
US,175,7334
US,278,24539
US,58,3577
US,340,20559
US,41,1118
US,106,3118
US,19,2107
US,66,4605
US,1268,90367
US,95,4727
US,122,3563
US,54,1636
US,401,12270
US,277,22051
US,57,1817
US,11,714
US,155,8728
US,84,3187
US,117,4390
US,51,1609
US,101,3718
US,220,12984
US,353,18091
US,257,33340
US,77,3894
US,1700,130608
US,128,4566
US,20,411
US,329,15245
US,187,11127
US,86,3581
US,69,2664
US,1408,131649
US,195,7250
US,614,37376
US,80,1121
US,111,3750
US,83,3682
US,64,3460
US,33,1460
US,475,37585
US,364,24717
US,37,1412
US,201,14575
US,57,2105
US,56,2919
US,82,2644
US,55,1183
US,60,1537
US,88,3392
US,87,3375
US,15,1458
US,233,8994
US,79,4615
US,107,7449
US,32,1168
US,22,1711
US,297,21053
US,97,4732
US,40,1314
US,72,4910
US,36,955
US,72,3474
US,29,1695
US,107,2941
US,20,1197
US,98,3325
US,141,4111
US,39,1501
US,40,3106
US,130,7374
US,606,23666
US,329,16084
US,78,5584
US,38,2140
US,963,42888
US,315,24825
US,94,4008
US,110,5473
US,100,4211
US,67,3770
US,146,8382
US,57,1506
US,80,3193
US,4,253
US,58,2473
US,40,990
US,658,34658
US,228,11252
US,7,635
US,57,1782
US,24,1493
US,281,10188
US,102,4687
US,28,1510
US,128,4097
US,25,726
US,3,168
US,103,3773
US,36,1254
US,67,2211
US,56,1210
US,173,7625
US,172,8267
US,167,5375
US,79,1755
US,46,1226
US,299,10755
US,48,1682
US,59,1070
US,8,4619
US,120,3495
US,165,5371
US,135,10976
US,331,14807
US,240,7284
US,23,760
US,112,3195
US,166,5775
US,6,254
US,33,945
US,122,4755
US,327,22275
US,53,1264
US,34,1532
US,42,1486
US,87,3027
US,3,103
US,222,16795
US,112,10684
US,654,56948
US,9,2476
US,92,9724
US,5,2562
US,0,0
US,721,77510
US,9,497
US,168,12770
US,13,640
US,19,1111
US,106,6450
US,23,2952
US,9,713
US,83,5120
US,207,19011
US,24,1325
US,3,330
US,1,106
US,468,39966
US,17,956
US,34,3720
US,0,77
US,25,1585
US,5,354
US,42,3867
US,22,1534
US,16,1455
US,54,2673
US,40,2219
US,31,2012
US,42,3893
US,44,4179
US,356,27126
US,30,4356
US,16,788
US,19,724
US,12,660
US,35,8411
US,44,3070
US,91,5947
US,6,511
US,39,1568
US,57,3886
US,13,988
US,57,1859
US,5,1593
US,199,15448
US,0,2
US,10,1404
US,41,1801
US,152,13072
US,12,713
US,24,2550
US,83,7875
US,9,1058
US,89,4411
US,2,686
US,38,2356
US,30,2647
US,196,26859
US,82,5303
US,39,2649
US,54,2573
US,102,7095
US,121,7843
US,11168,631261
US,30,3308
US,26,1885
US,30,2042
US,133,12078
US,37,3247
US,1374,107465
US,49,2552
US,18,1025
US,99,6554
US,64,4289
US,59,2422
US,114,7276
US,74,5216
US,8,784
US,40,2045
US,86,7317
US,22,1333
US,35,2719
US,16,594
US,14,696
US,76,6598
US,77,4181
US,94,8065
US,21,1605
US,142,6492
US,53,3342
US,29,2145
US,31,2238
US,866,68004
US,247,17795
US,113,16104
US,169,7197
US,285,14954
US,1076,79526
US,32,3299
US,60,4769
US,97,5946
US,74,4925
US,250,15222
US,104,6893
US,590,39883
US,143,6871
US,21,1409
US,52,2116
US,48,2137
US,60,3723
US,322,34415
US,216,22871
US,13,1710
US,35,2022
US,100,5236
US,80,4876
US,99,5038
US,33,2288
US,87,7524
US,0,9
US,368,26749
US,75,4303
US,14,2006
US,58,2626
US,6,544
US,11,1037
US,4,560
US,99,5523
US,57,2784
US,358,18699
US,69,4317
US,284,25613
US,10,1064
US,6,711
US,47,3431
US,591,36147
US,28,809
US,92,5775
US,330,20525
US,2433,158
US,48,3054
US,198,14202
US,19,2166
US,65,2427
US,28,2114
US,61,2999
US,33,2785
US,181,8247
US,1118,90698
US,174,11998
US,559,40745
US,92,5735
US,73,4727
US,791,57160
US,179,11447
US,17,1501
US,40,1878
US,115,8819
US,47,1440
US,32,2582
US,119,7462
US,248,18383
US,60,4184
US,71,5671
US,22,1581
US,112,4596
US,96,6237
US,92,8154
US,101,4118
US,256,14931
US,129,8210
US,503,35546
US,86,4021
US,214,10983
US,58,3318
US,42,2627
US,66,3045
US,113,6480
US,217,9898
US,96,4211
US,460,45963
US,175,11597
US,91,6415
US,353,23647
US,150,8107
US,286,14574
US,99,6302
US,88,6917
US,75,5204
US,45,2784
US,95,5046
US,60,3832
US,440,24821
US,105,6269
US,147,12166
US,78,3520
US,249,14987
US,1151,65823
US,168,7379
US,404,18538
US,2101,134326
US,134,7786
US,19,1373
US,95,5865
US,197,15117
US,109,6184
US,176,9361
US,48,1556
US,106,7944
US,12,840
US,62,2905
US,69,3101
US,26,2297
US,52,2644
US,43,2273
US,362,22735
US,43,3742
US,55,1811
US,77,5734
US,99,3399
US,85,4924
US,32,2572
US,68,4339
US,114,7115
US,42,3364
US,607,43954
US,68,3108
US,73,5504
US,52,3266
US,11,1339
US,256,27694
US,59,2256
US,532,0
US,15,1066
US,473,31975
US,54,2542
US,300,17274
US,101,5250
US,16,1201
US,188,11225
US,49,3520
US,248,10840
US,87,4197
US,61,4142
US,55,5580
US,34,1036
US,4,498
US,52,1929
US,50,1759
US,14,645
US,56,3520
US,355,20130
US,37,3448
US,67,3538
US,39,2742
US,45,4897
US,37,2032
US,15,1841
US,53,3417
US,57,1905
US,26,2463
US,107,6816
US,43,1919
US,18,1564
US,28,1400
US,31,2746
US,58,2100
US,100,6814
US,45,3373
US,107,13894
US,25,1138
US,12,812
US,44,2534
US,93,6578
US,51,2976
US,228,15577
US,42,1638
US,48,2538
US,44,2167
US,28,1633
US,11,837
US,12,1137
US,37,1679
US,34,1540
US,53,2285
US,39,1847
US,48,2664
US,77,2152
US,47,3786
US,22,1254
US,26,1618
US,41,1166
US,29,2042
US,45,2704
US,78,5714
US,40,1973
US,100,17800
US,60,3651
US,34,1375
US,73,2693
US,87,5607
US,379,28680
US,51,1696
US,24,1122
US,41,1906
US,25,2143
US,56,3136
US,91,4997
US,84,6354
US,27,1972
US,43,1618
US,36,1074
US,34,1315
US,41,1389
US,113,6294
US,63,2238
US,17,911
US,27,2448
US,31,1408
US,87,4591
US,23,1093
US,716,73698
US,197,14073
US,40,2068
US,27,668
US,23,1563
US,271,24441
US,39,1742
US,76,5602
US,48,12751
US,76,2614
US,12,786
US,0,15
US,37,1594
US,21,827
US,136,5807
US,96,7634
US,55,3622
US,24,720
US,111,6876
US,32,1854
US,37,2308
US,242,18854
US,8,1067
US,45,2409
US,27,1851
US,21,1089
US,24,2336
US,7,489
US,56,3771
US,41,2407
US,40,1515
US,121,10680
US,4,342
US,8,490
US,77,3586
US,13,424
US,7,318
US,31,1204
US,27,1280
US,26,1154
US,11,247
US,124,5521
US,103,6656
US,13,332
US,60,2808
US,27,1351
